ProtID	GO_ID
MGG_00349	GO:0006412, GO:0003735, GO:0005840, GO:0005622, GO:0070181, GO:0000462, GO:0022627, GO:1990904, GO:0005737
MGG_00350	GO:0003674, GO:0048188, GO:0044666, GO:0005634
MGG_00351	GO:0004528, GO:0046872, GO:0003676, GO:0005634, GO:0016788, GO:0003674, GO:0008150, GO:0036297, GO:0004518, GO:0016787, GO:0006281, GO:0006974, GO:0090305, GO:0090304
MGG_00354	GO:0003677, GO:0005634, GO:0006355, GO:0003700
MGG_00355	GO:0005681, GO:0000398, GO:0003674, GO:0005688, GO:0046540, GO:0008266, GO:0006397, GO:0005634, GO:0003723, GO:0008380, GO:1990904, GO:0000290, GO:0006364, GO:0008033, GO:0000932, GO:0005730, GO:0005732, GO:1990726
MGG_00356	GO:0005575, GO:0003729, GO:0071004, GO:0000245, GO:0005686, GO:0005634, GO:0005681, GO:0000398, GO:0045292, GO:0005684, GO:0071014
MGG_00357	GO:0000166, GO:0008152, GO:0016491, GO:0055114, GO:0005575
MGG_00359	GO:0008152, GO:0016853, GO:0003824, GO:0005575
MGG_00360	GO:0015031, GO:0006891, GO:0016020, GO:0017119, GO:0005794
MGG_00361	GO:0005634, GO:0016458
MGG_00362	GO:0016021, GO:0000166, GO:0008152, GO:0016491, GO:0055114, GO:0006666, GO:0047560, GO:0030148, GO:0016020, GO:0006665
MGG_00365	GO:0046872, GO:0005525, GO:0003924, GO:0007186, GO:0005834, GO:0005575, GO:0001664, GO:0031683, GO:0019001, GO:0007165, GO:0000166
MGG_00366	GO:0003674, GO:0008150, GO:0005575
MGG_00367	GO:0003674, GO:0008150, GO:0005575
MGG_00369	GO:0005737, GO:0051301, GO:0007346, GO:0045948, GO:1905143
MGG_00370	GO:0003674, GO:0005634
MGG_00371	GO:0005085, GO:0007264, GO:0005622, GO:0051301, GO:0051056, GO:0050790, GO:0005515
MGG_00373	GO:0003676, GO:0008270, GO:0003677, GO:0005634, GO:0006351, GO:0005622, GO:0008150
MGG_00374	GO:0005975, GO:0004553, GO:0005575
MGG_00375	GO:0008150, GO:0005575
MGG_00378	GO:0005874, GO:0008150, GO:0005575, GO:0005515, GO:0043014, GO:0006457
MGG_00379	GO:0046872, GO:0003676, GO:0008270, GO:0008150, GO:0005575
MGG_00380	GO:0003674, GO:0008150, GO:0005575
MGG_00382	GO:0005524, GO:0000166, GO:0016787, GO:0005525, GO:0017111, GO:0006606, GO:0008150, GO:0005575, GO:0007064
MGG_00383	GO:0046872, GO:0005524, GO:0000166, GO:0016740, GO:0006555, GO:0006730, GO:0004478, GO:0006556
MGG_00384	GO:0003674, GO:0008150, GO:0005575
MGG_00385	GO:0000166, GO:0008152, GO:0003824, GO:0048037, GO:0031177, GO:0044550
MGG_00387	GO:0016021, GO:0016020
MGG_00388	GO:0005515
MGG_00389	GO:0003674, GO:0008150, GO:0005575
MGG_00390	GO:0008152, GO:0009405, GO:0005576, GO:0003824, GO:0003674, GO:0008150, GO:0005575, GO:0005615, GO:0090729, GO:0035821
MGG_00391	GO:0003674, GO:0008150, GO:0005575
MGG_00392	GO:0016021, GO:0006629, GO:0016020
MGG_00393	GO:0008150, GO:0005575, GO:0005515
MGG_00394	GO:0003674, GO:0008150, GO:0005575
MGG_00395	GO:0016021, GO:0016020
MGG_00396	GO:0047617
MGG_00397	GO:0005634, GO:0006355, GO:0006281, GO:0000439, GO:0001671, GO:0006289, GO:0006974, GO:0003690, GO:0006366, GO:0006367, GO:0070816, GO:0000112, GO:0005675
MGG_00398	GO:0016021, GO:0016020
MGG_00400	GO:0016021, GO:0016020
MGG_00401	GO:0009405
MGG_00402	GO:0000166, GO:0008152, GO:0016491, GO:0055114
MGG_00406	GO:0005744, GO:0031072, GO:0030150, GO:0016020, GO:0005739, GO:0015031, GO:0005743, GO:0019904, GO:0001405
MGG_00407	GO:0016021, GO:0003674, GO:0008150, GO:0005575, GO:0016020, GO:0006888, GO:0005737
