GO.ID	Term	Annotated	Significant	Expected	topgoFisher	filename	GO_cat
GO:0030245	cellulose catabolic process	22	5	1.25	0.00671	upreg_Dbip1_4h	BP
GO:0008152	metabolic process	3931	227	222.53	0.0076	upreg_Dbip1_4h	BP
GO:0055085	transmembrane transport	606	55	34.3	0.01065	upreg_Dbip1_4h	BP
GO:0006508	proteolysis	341	23	19.3	0.01393	upreg_Dbip1_4h	BP
GO:0044550	secondary metabolite biosynthetic proces...	53	11	3	0.01823	upreg_Dbip1_4h	BP
GO:0006878	intracellular copper ion homeostasis	11	3	0.62	0.02115	upreg_Dbip1_4h	BP
GO:0009058	biosynthetic process	1953	74	110.56	0.02481	upreg_Dbip1_4h	BP
GO:0042438	melanin biosynthetic process	5	2	0.28	0.02852	upreg_Dbip1_4h	BP
GO:0030001	metal ion transport	101	13	5.72	0.03275	upreg_Dbip1_4h	BP
GO:0006694	steroid biosynthetic process	28	4	1.59	0.04108	upreg_Dbip1_4h	BP
GO:0006559	L-phenylalanine catabolic process	6	2	0.34	0.0412	upreg_Dbip1_4h	BP
GO:0015680	protein maturation by copper ion transfe...	4	3	0.19	0.00043	upreg_Dmst12_0h	BP
GO:0000103	sulfate assimilation	7	5	0.34	0.00102	upreg_Dmst12_0h	BP
GO:0019344	cysteine biosynthetic process	9	4	0.43	0.00103	upreg_Dmst12_0h	BP
GO:0019379	sulfate assimilation, phosphoadenylyl su...	2	2	0.1	0.00232	upreg_Dmst12_0h	BP
GO:0070814	hydrogen sulfide biosynthetic process	7	3	0.34	0.00337	upreg_Dmst12_0h	BP
GO:0009117	nucleotide metabolic process	148	11	7.14	0.00746	upreg_Dmst12_0h	BP
GO:0098869	cellular oxidant detoxification	33	6	1.59	0.00991	upreg_Dmst12_0h	BP
GO:0009231	riboflavin biosynthetic process	10	3	0.48	0.01037	upreg_Dmst12_0h	BP
GO:0008655	pyrimidine-containing compound salvage	4	2	0.19	0.01305	upreg_Dmst12_0h	BP
GO:0006750	glutathione biosynthetic process	4	2	0.19	0.01305	upreg_Dmst12_0h	BP
GO:0005992	trehalose biosynthetic process	4	2	0.19	0.01305	upreg_Dmst12_0h	BP
